image,candidate,offset_east_m,offset_north_m,offset_alt_m,yaw_offset_deg,edge_chamfer,edge_overlap_ratio,objective,passes_strict_visual_gate,selected_by_visual_objective,safe_output_worse_than_initial,valid_depth_ratio,query_edge_count,render_edge_count
0002.JPG,em1_nm0p5_ym0p25,-1.0,-0.5,0.0,-0.25,4.485838890075684,0.5029976019184652,3.9828412881572186,True,True,False,1.0,1773,1668
0002.JPG,em1_nz0_ym0p125,-1.0,0.0,0.0,-0.125,4.810125827789307,0.49753390875462394,4.312591919034682,False,False,True,1.0,1773,1622
0002.JPG,em1_nz0_ym0p375,-1.0,0.0,0.0,-0.375,4.838527679443359,0.45879602571595557,4.379731653727404,False,False,True,1.0,1773,1711
0002.JPG,em0p5_nm0p5_ym0p25,-0.5,-0.5,0.0,-0.25,5.024824619293213,0.4780185758513932,4.54680604344182,False,False,True,1.0,1773,1615
0002.JPG,em1p5_nm0p5_ym0p25,-1.5,-0.5,0.0,-0.25,4.625019073486328,0.48517350157728706,4.139845571909041,True,False,False,1.0,1773,1585
0002.JPG,em1_nm0p5_ym0p125,-1.0,-0.5,0.0,-0.125,4.7975616455078125,0.49605343047966,4.301508215028153,False,False,True,1.0,1773,1647
0002.JPG,em1_nm0p5_ym0p375,-1.0,-0.5,0.0,-0.375,4.682016372680664,0.4826368452030606,4.199379527477603,True,False,False,1.0,1773,1699
0002.JPG,em0p75_nm0p5_ym0p25,-0.75,-0.5,0.0,-0.25,4.7315850257873535,0.48808796579108127,4.2434970599962725,False,False,True,1.0,1773,1637
0002.JPG,em1p25_nm0p5_ym0p25,-1.25,-0.5,0.0,-0.25,4.606078147888184,0.4921968787515006,4.113881269136683,True,False,False,1.0,1773,1666
0002.JPG,em1_nm0p25_ym0p25,-1.0,-0.25,0.0,-0.25,4.713094711303711,0.4892966360856269,4.223798075218084,True,False,False,1.0,1773,1635
0002.JPG,em1_nm0p75_ym0p25,-1.0,-0.75,0.0,-0.25,4.805015563964844,0.46368715083798884,4.341328413126855,False,False,True,1.0,1773,1611
0002.JPG,em1_nm0p5_ym0p188,-1.0,-0.5,0.0,-0.1875,4.794508934020996,0.484996938150643,4.309511995870353,False,False,True,1.0,1773,1633
