dom_col,dom_patch_rel,dom_row,dsm_height,index,manual_label,manual_label_choices,manual_note,measurement_x,measurement_y,patch_mean_absdiff_rgb,photo_id,projected_x,projected_y,projection_depth,query_image,query_patch_rel,reprojection_error_px,tiepoint_index,tiepoint_raster_x,tiepoint_raster_y,tiepoint_xml_x,tiepoint_xml_y,tiepoint_xml_z
3591,patches/0002/dom_0049.png,8789,15.58359146118164,49,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3461.0,433.0,25.63421630859375,17,3461.3483449805112,431.8348849317267,374.86836368224016,0002.jpg,patches/0002/query_0049.png,1.2160745650513456,881,253886.6614069398,3364458.994592891,542157.6906415942,3363101.9729684624,15.420223724115147
2691,patches/0000/dom_0050.png,4400,25.44370460510254,50,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1703.0,2957.0,28.20277214050293,7,1703.9500093499569,2955.8468505486535,366.04958406137575,0000.jpg,patches/0000/query_0050.png,1.4940787871281187,884,253760.66050131337,3365073.5762822554,542015.4962386494,3363712.801303117,25.23891497059003
4734,patches/0001/dom_0051.png,6439,28.674074172973633,51,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,551.0,1142.0,58.334815979003906,13,551.9320140516493,1142.2391925312866,361.0494402579796,0001.jpg,patches/0001/query_0051.png,0.9622178856657009,928,254046.82188687968,3364788.0828849957,542309.0264859779,3363435.0810064045,28.6224288287317
1900,patches/0001/dom_0052.png,7023,22.96793556213379,52,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4368.0,2294.0,22.324119567871094,13,4369.058896974777,2293.8944572915157,369.5932143401793,0001.jpg,patches/0001/query_0052.png,1.0641438185254002,1004,253649.86508163277,3364706.2539346972,541914.5056756317,3363342.793054372,23.060424770786256
3017,patches/0001/dom_0053.png,6638,22.687742233276367,53,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2768.0,2029.0,40.92318344116211,13,2768.008799955491,2029.0989231142485,369.8644618373874,0001.jpg,patches/0001/query_0053.png,0.09931375407898956,1071,253806.36122948964,3364760.1321225953,542069.4687268954,3363400.7799055516,21.741451071418737
3212,patches/0000/dom_0054.png,5071,15.659993171691895,54,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1522.0,1786.0,17.99178695678711,7,1522.9553518196788,1785.7883609693704,375.80244718347984,0000.jpg,patches/0000/query_0054.png,0.9785132490923911,1097,253833.6462427145,3364979.666405947,542090.9201872988,3363620.8883485566,14.763717262838554
4668,patches/0002/dom_0055.png,7785,14.53816032409668,55,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1521.0,926.0,16.677001953125,17,1521.3266184500756,925.4067029143396,375.432369850257,0002.jpg,patches/0002/query_0055.png,0.6772599528858265,1114,254037.53982848243,3364599.597885402,542304.7431124434,3363246.4774079765,14.54470825704476
3242,patches/0002/dom_0056.png,8296,18.93971824645996,56,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3576.0,1232.0,25.79676628112793,17,3576.0114147916142,1231.6093874966782,372.32046466616345,0002.jpg,patches/0002/query_0056.png,0.3907792538235779,1141,253837.79396812496,3364528.0475327787,542107.0273459657,3363169.6849173373,18.78818667076348
2157,patches/0002/dom_0057.png,7073,26.2602596282959,57,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4068.0,3422.0,19.546621322631836,17,4068.5623165091874,3420.371908342634,367.7025600299131,0002.jpg,patches/0002/query_0057.png,1.7224640203178319,1212,253685.87658194915,3364699.336701951,541950.6759841213,3363336.8343492565,25.68310358054032
2157,patches/0001/dom_0058.png,7073,26.2602596282959,58,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4114.0,2068.0,21.291248321533203,13,4113.795013182054,2067.7569191845137,366.61523919004725,0001.jpg,patches/0001/query_0058.png,0.31797465054461377,1212,253685.87658194915,3364699.336701951,541950.6759841213,3363336.8343492565,25.68310358054032
3616,patches/0002/dom_0059.png,8582,15.834964752197266,59,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3302.0,652.0,46.21451187133789,17,3301.975588240802,651.9881366182944,374.65712996827693,0002.jpg,patches/0002/query_0059.png,0.027141735622934697,1279,253890.19870491637,3364488.0050685084,542160.457191124,3363131.0575143653,15.785517472525214
4920,patches/0002/dom_0060.png,7763,19.553508758544922,60,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1177.0,765.0,50.819122314453125,17,1177.667275654914,765.0351544386717,364.0419680000024,0002.jpg,patches/0002/query_0060.png,0.6682010432490995,1284,254072.8454409776,3364602.6372385495,542339.9443906782,3363250.4498290187,25.675425777484122
3181,patches/0001/dom_0061.png,7671,15.2437105178833,61,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3240.0,679.0,20.39338493347168,13,3240.2587891935314,678.7814981908714,375.1709679363224,0001.jpg,patches/0001/query_0061.png,0.3386958625095468,1325,253829.21894368457,3364615.6000024183,542096.1391936274,3363256.9510287493,15.379195828216893
3181,patches/0002/dom_0062.png,7671,15.2437105178833,62,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3234.0,2032.0,20.035293579101562,17,3234.6076402239346,2032.2331243876724,376.34647380940044,0002.jpg,patches/0002/query_0062.png,0.6508253389896032,1325,253829.21894368457,3364615.6000024183,542096.1391936274,3363256.9510287493,15.379195828216893
2477,patches/0002/dom_0063.png,8074,21.013599395751953,63,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4344.0,2007.0,18.89930534362793,17,4345.317713912017,2007.3889037042118,370.6684946770446,0002.jpg,patches/0002/query_0063.png,1.3739053988805197,1327,253730.7483521557,3364559.1079081716,541999.231530748,3363197.889060327,21.482080366550235
2453,patches/0001/dom_0064.png,7099,25.864892959594727,64,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3767.0,1839.0,19.3369197845459,13,3767.5135094808174,1837.9727009854735,369.3363026929165,0001.jpg,patches/0001/query_0064.png,1.1484925999485551,1507,253727.31033699986,3364695.614582344,541992.1802542331,3363334.21220897,22.577990885484553
3278,patches/0001/dom_0065.png,6813,16.58761215209961,65,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2562.0,1642.0,27.47294807434082,13,2563.091998624991,1641.595944726942,374.6360770478906,0001.jpg,patches/0001/query_0065.png,1.1643546112195415,1542,253842.881341629,3364735.6651154575,542106.6121935071,3363377.296779053,16.50574685605477
2059,patches/0002/dom_0066.png,7336,24.084232330322266,66,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4352.0,3164.0,20.886526107788086,17,4353.307008560555,3163.6623599047243,368.15850929283704,0002.jpg,patches/0002/query_0066.png,1.3499156311791607,1624,253672.15712543094,3364662.4096851926,541937.9439083955,3363299.56897292,25.103967257709257
