image,candidate,rotation_convention,axis_transform_key,axis_transform,principal_point_mode,distortion_enabled,sampling_mode,ray_step_m,render_scale,edge_chamfer,edge_overlap_ratio,valid_depth_ratio,query_edge_count,render_edge_count,edge_overlap_count,render_time_sec
0000.jpg,screen_054_R_xml_pmp_xml_dist_nearest_step10p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",xml,True,nearest,10.0,0.25,36.41127395629883,0.09576416376203699,0.9904487238410393,21217,16927,1621,1.2951532070001122
0000.jpg,screen_055_R_xml_pmp_xml_dist_bilinear_step10p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",xml,True,bilinear,10.0,0.25,38.70186996459961,0.09497415457432895,0.9904540858534792,21217,16057,1525,2.070817875999637
0000.jpg,screen_056_R_xml_pmp_xml_dist_nearest_step2p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",xml,True,nearest,2.0,0.25,36.64105224609375,0.08008161183371588,0.9910799093053896,21217,15684,1256,3.666416977001063
0000.jpg,screen_057_R_xml_pmp_xml_dist_bilinear_step2p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",xml,True,bilinear,2.0,0.25,37.2767333984375,0.07679823422487665,0.9910799093053896,21217,15404,1183,5.97157208399949
0000.jpg,screen_058_R_xml_pmp_xml_dist_nearest_step1p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",xml,True,nearest,1.0,0.25,35.81009292602539,0.09330666833322918,0.9912131936146091,21217,16001,1493,3.9485687029991823
0000.jpg,screen_059_R_xml_pmp_xml_dist_bilinear_step1p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",xml,True,bilinear,1.0,0.25,38.386962890625,0.08892969569779643,0.9912062995986151,21217,15248,1356,9.680627714998991
0000.jpg,screen_060_R_xml_pmp_flip_y_nodist_nearest_step10p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",flip_y,False,nearest,10.0,0.25,35.99809265136719,0.0940951165017555,0.9979616692710727,21217,15665,1474,0.7997037340028328
0000.jpg,screen_061_R_xml_pmp_flip_y_nodist_bilinear_step10p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",flip_y,False,bilinear,10.0,0.25,39.22758483886719,0.098873335609423,0.9979685632870668,21217,14645,1448,2.0136688989987306
0000.jpg,screen_062_R_xml_pmp_flip_y_nodist_nearest_step2p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",flip_y,False,nearest,2.0,0.25,35.58500289916992,0.09894780851508606,0.9981815117811074,21217,14351,1420,2.3460936170013156
0000.jpg,screen_063_R_xml_pmp_flip_y_nodist_bilinear_step2p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",flip_y,False,bilinear,2.0,0.25,38.035335540771484,0.09734769097347691,0.998185341789993,21217,13837,1347,5.254596181999659
